Steps = 20, Explorations = 12, Exploitations = 7, Epsilon rate = 0.6339545360440487, Episode = 116
Steps = 19, Explorations = 9, Exploitations = 9, Epsilon rate = 0.6328143873124971, Episode = 117
Steps = 32, Explorations = 25, Exploitations = 6, Epsilon rate = 0.630855602456219, Episode = 118
Steps = 9, Explorations = 3, Exploitations = 5, Epsilon rate = 0.6303510945784992, Episode = 119
Steps = 27, Explorations = 17, Exploitations = 9, Epsilon rate = 0.6287142287356817, Episode = 120
Steps = 9, Explorations = 2, Exploitations = 6, Epsilon rate = 0.6282114333574736, Episode = 121
Steps = 10, Explorations = 2, Exploitations = 7, Epsilon rate = 0.627646269170806, Episode = 122
Steps = 21, Explorations = 12, Exploitations = 8, Epsilon rate = 0.6263921684451633, Episode = 123
Steps = 52, Explorations = 36, Exploitations = 15, Epsilon rate = 0.6232055418572631, Episode = 124
Steps = 17, Explorations = 12, Exploitations = 4, Epsilon rate = 0.6222091604880602, Episode = 125
Steps = 21, Explorations = 13, Exploitations = 7, Epsilon rate = 0.6209659236554719, Episode = 126
Steps = 27, Explorations = 15, Exploitations = 11, Epsilon rate = 0.6193534287796361, Episode = 127
Steps = 20, Explorations = 11, Exploitations = 8, Epsilon rate = 0.6181777157594047, Episode = 128
Steps = 17, Explorations = 10, Exploitations = 6, Epsilon rate = 0.6171893728813819, Episode = 129
Steps = 18, Explorations = 9, Exploitations = 8, Epsilon rate = 0.6161409899054889, Episode = 130
Steps = 24, Explorations = 14, Exploitations = 9, Epsilon rate = 0.6147254233747703, Episode = 131
Steps = 13, Explorations = 7, Exploitations = 5, Epsilon rate = 0.613988158450291, Episode = 132
Steps = 57, Explorations = 35, Exploitations = 21, Epsilon rate = 0.6105592631833857, Episode = 133
Steps = 44, Explorations = 31, Exploitations = 12, Epsilon rate = 0.6079393641744609, Episode = 134
Steps = 41, Explorations = 30, Exploitations = 10, Epsilon rate = 0.605512342643915, Episode = 135
Steps = 25, Explorations = 16, Exploitations = 8, Epsilon rate = 0.6040607830107214, Episode = 136
Steps = 20, Explorations = 13, Exploitations = 6, Epsilon rate = 0.6029140998818392, Episode = 137
Steps = 12, Explorations = 6, Exploitations = 5, Epsilon rate = 0.6022512258752631, Episode = 138
Steps = 25, Explorations = 16, Exploitations = 8, Epsilon rate = 0.6008074839282292, Episode = 139
Steps = 16, Explorations = 8, Exploitations = 7, Epsilon rate = 0.5999069032769095, Episode = 140
Steps = 22, Explorations = 16, Exploitations = 5, Epsilon rate = 0.5986483577870079, Episode = 141
Steps = 16, Explorations = 8, Exploitations = 7, Epsilon rate = 0.5977510135587998, Episode = 142
Steps = 23, Explorations = 16, Exploitations = 6, Epsilon rate = 0.5964373412137123, Episode = 143
